Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_293_1735,VGND,li1,803.8500,810.5600,0.000001
FILLER_293_1729,VGND,li1,802.2400,810.5600,0.000001
FILLER_293_1717,VGND,li1,798.1000,810.5600,0.000001
FILLER_293_1705,VGND,li1,792.5800,810.5600,0.000001
FILLER_293_1693,VGND,li1,787.0600,810.5600,0.000001
FILLER_293_1681,VGND,li1,781.5400,810.5600,0.000002
FILLER_293_1679,VGND,li1,778.0900,810.5600,0.000002
FILLER_293_1673,VGND,li1,776.4800,810.5600,0.000002
FILLER_293_1661,VGND,li1,772.3400,810.5600,0.000003
FILLER_293_1649,VGND,li1,766.8200,810.5600,0.000003
FILLER_293_1637,VGND,li1,761.3000,810.5600,0.000003
FILLER_293_1625,VGND,li1,755.7800,810.5600,0.000004
FILLER_293_1623,VGND,li1,752.3300,810.5600,0.000004
FILLER_293_1617,VGND,li1,750.7200,810.5600,0.000004
FILLER_293_1605,VGND,li1,746.5800,810.5600,0.000005
FILLER_293_1593,VGND,li1,741.0600,810.5600,0.000005
FILLER_293_1581,VGND,li1,735.5400,810.5600,0.000006
FILLER_293_1569,VGND,li1,730.0200,810.5600,0.000006
FILLER_293_1567,VGND,li1,726.5700,810.5600,0.000006
FILLER_293_1561,VGND,li1,724.9600,810.5600,0.000006
FILLER_293_1549,VGND,li1,720.8200,810.5600,0.000007
FILLER_293_1537,VGND,li1,715.3000,810.5600,0.000007
FILLER_293_1525,VGND,li1,709.7800,810.5600,0.000008
FILLER_293_1513,VGND,li1,704.2600,810.5600,0.000008
FILLER_293_1511,VGND,li1,700.8100,810.5600,0.000009
FILLER_293_1505,VGND,li1,699.2000,810.5600,0.000009
FILLER_293_1493,VGND,li1,695.0600,810.5600,0.000009
FILLER_293_1481,VGND,li1,689.5400,810.5600,0.000009
FILLER_293_1469,VGND,li1,684.0200,810.5600,0.000010
FILLER_293_1457,VGND,li1,678.5000,810.5600,0.000010
FILLER_293_1455,VGND,li1,675.0500,810.5600,0.000011
FILLER_293_1449,VGND,li1,673.4400,810.5600,0.000011
FILLER_293_1437,VGND,li1,669.3000,810.5600,0.000011
FILLER_293_1425,VGND,li1,663.7800,810.5600,0.000012
FILLER_293_1413,VGND,li1,658.2600,810.5600,0.000012
FILLER_293_1401,VGND,li1,652.7400,810.5600,0.000012
FILLER_293_1399,VGND,li1,649.2900,810.5600,0.000013
FILLER_293_1393,VGND,li1,647.6800,810.5600,0.000013
FILLER_293_1381,VGND,li1,643.5400,810.5600,0.000013
FILLER_293_1369,VGND,li1,638.0200,810.5600,0.000014
FILLER_293_1357,VGND,li1,632.5000,810.5600,0.000022
FILLER_293_1345,VGND,li1,626.9800,810.5600,0.000030
FILLER_293_1343,VGND,li1,623.5300,810.5600,0.000037
FILLER_293_1337,VGND,li1,621.9200,810.5600,0.000037
FILLER_293_1325,VGND,li1,617.7800,810.5600,0.000043
FILLER_293_1313,VGND,li1,612.2600,810.5600,0.000052
FILLER_293_1301,VGND,li1,606.7400,810.5600,0.000059
FILLER_293_1289,VGND,li1,601.2200,810.5600,0.000063
FILLER_293_1287,VGND,li1,597.7700,810.5600,0.000068
FILLER_293_1281,VGND,li1,596.1600,810.5600,0.000068
FILLER_293_1269,VGND,li1,592.0200,810.5600,0.000071
FILLER_293_1257,VGND,li1,586.5000,810.5600,0.000077
FILLER_293_1245,VGND,li1,580.9800,810.5600,0.000082
FILLER_293_1233,VGND,li1,575.4600,810.5600,0.000086
FILLER_293_1231,VGND,li1,572.0100,810.5600,0.000090
FILLER_293_1225,VGND,li1,570.4000,810.5600,0.000090
