Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_293_1017,VPWR,li1,473.5700,807.8400,1.799917
FILLER_293_989,VPWR,li1,461.1500,807.8400,1.799884
FILLER_293_977,VPWR,li1,457.7000,807.8400,1.799874
FILLER_293_965,VPWR,li1,452.1800,807.8400,1.799865
FILLER_293_953,VPWR,li1,444.8200,807.8400,1.799855
FILLER_293_951,VPWR,li1,443.2100,807.8400,1.799852
FILLER_293_947,VPWR,li1,442.0600,807.8400,1.799852
FILLER_293_935,VPWR,li1,438.3800,807.8400,1.799848
FILLER_293_923,VPWR,li1,432.8600,807.8400,1.799845
FILLER_293_897,VPWR,li1,418.6000,807.8400,1.799835
FILLER_293_895,VPWR,li1,417.4500,807.8400,1.799835
FILLER_293_887,VPWR,li1,415.3800,807.8400,1.799834
FILLER_293_853,VPWR,li1,399.2800,807.8400,1.799836
FILLER_293_841,VPWR,li1,395.1400,807.8400,1.799839
FILLER_293_834,VPWR,li1,390.5400,807.8400,1.799842
FILLER_293_822,VPWR,li1,386.4000,807.8400,1.799845
FILLER_293_783,VPWR,li1,365.9300,807.8400,1.799869
FILLER_293_779,VPWR,li1,364.7800,807.8400,1.799869
FILLER_293_761,VPWR,li1,356.0400,807.8400,1.799884
FILLER_293_753,VPWR,li1,353.7400,807.8400,1.799890
FILLER_293_741,VPWR,li1,349.1400,807.8400,1.799899
FILLER_293_729,VPWR,li1,343.6200,807.8400,1.799912
FILLER_293_725,VPWR,li1,339.7100,807.8400,1.799917
FILLER_293_699,VPWR,li1,327.2900,807.8400,1.799942
FILLER_293_691,VPWR,li1,325.2200,807.8400,1.799937
FILLER_293_682,VPWR,li1,319.4700,807.8400,1.799926
FILLER_293_671,VPWR,li1,314.4100,807.8400,1.799918
FILLER_293_667,VPWR,li1,313.2600,807.8400,1.799913
FILLER_293_633,VPWR,li1,297.3900,807.8400,1.799899
FILLER_293_615,VPWR,li1,288.6500,807.8400,1.799900
FILLER_293_609,VPWR,li1,287.0400,807.8400,1.799900
FILLER_293_597,VPWR,li1,282.9000,807.8400,1.799901
