net,length_um
chacha_unit.U_QR_COL_1.in_a\[27\],465.83µm
_06721_,465.12µm
chacha_unit.U_QR_COL_0.in_a\[13\],465.08µm
net556,464.94µm
net207,464.86µm
net605,464.56µm
net356,464.55µm
clknet_5_16__leaf_clk,462.68µm
net232,461.7µm
net574,461.7µm
net777,461.24µm
net631,460.8µm
_03043_,459.74µm
_05371_,458.67µm
net193,457.98µm
net409,456.8µm
chacha_unit.U_QR_COL_1.in_a\[22\],455.96µm
chacha_unit.U_QR_COL_3.in_b\[8\],454.89µm
net1270,454.88µm
net1250,454.635µm
_12502_,453.87µm
chacha_unit.U_QR_COL_0.in_c\[20\],453.6µm
net1744,453.595µm
chacha_unit.U_QR_COL_1.in_a\[30\],453.58µm
net1512,453.22µm
net723,452.04µm
_11699_,452.03µm
net214,451.24µm
chacha_unit.U_QR_COL_3.in_c\[31\],451.2µm
net634,451.12µm
chacha_unit.U_QR_COL_1.in_a\[23\],450.48µm
_12554_,450.22µm
_07097_,450.21µm
net1451,449.59µm
net552,449.575µm
chacha_unit.U_QR_COL_1.in_b\[10\],449.525µm
_04817_,449.01µm
chacha_unit.U_QR_COL_3.in_c\[18\],448.39µm
chacha_unit.U_QR_COL_3.in_c\[25\],447.4µm
net1667,447.09µm
net431,446.54µm
chacha_unit.U_QR_COL_3.in_c\[17\],446.1µm
net664,445.56µm
net1033,445.22µm
_13075_,445µm
net299,444.86µm
_12402_,444.69µm
net1035,444.67µm
_06895_,444.56µm
net1564,444.51µm
_04818_,444.06µm
net695,443.24µm
net1022,442.9µm
_12401_,442.86µm
chacha_unit.U_QR_COL_1.in_b\[28\],442.6µm
_15192_,442.41µm
net1296,442.03µm
_15346_,441.39µm
_06893_,441.3µm
clknet_5_29__leaf_clk,441.21µm
chacha_unit.U_QR_COL_1.in_c\[8\],440.715µm
_07068_,440.27µm
net1067,439.8µm
net521,439.74µm
chacha_unit.U_QR_COL_0.in_c\[22\],439.58µm
_14039_,439.11µm
net569,439.11µm
chacha_unit.U_QR_COL_3.in_c\[23\],438.79µm
