net,length_um
_04531_,4.46µm
_04997_,4.46µm
_05775_,4.46µm
_05890_,4.46µm
_05924_,4.46µm
_05929_,4.46µm
_06091_,4.46µm
_06323_,4.46µm
_06359_,4.46µm
_06523_,4.46µm
_06715_,4.46µm
_06939_,4.46µm
_06968_,4.46µm
_07133_,4.46µm
_07300_,4.46µm
_07346_,4.46µm
_07441_,4.46µm
_07637_,4.46µm
_07890_,4.46µm
_08149_,4.46µm
_08479_,4.46µm
_08701_,4.46µm
_09101_,4.46µm
_09164_,4.46µm
_09444_,4.46µm
_09477_,4.46µm
_10245_,4.46µm
_10432_,4.46µm
_10629_,4.46µm
_10716_,4.46µm
_11487_,4.46µm
_11502_,4.46µm
_11601_,4.46µm
_11613_,4.46µm
_11627_,4.46µm
_11973_,4.46µm
_12354_,4.46µm
_12366_,4.46µm
_12673_,4.46µm
_12696_,4.46µm
_13313_,4.46µm
_13561_,4.46µm
_14193_,4.46µm
_14572_,4.46µm
_14800_,4.46µm
_14840_,4.46µm
_15114_,4.46µm
_15219_,4.46µm
_15592_,4.46µm
chacha_unit.ciphertext\[131\],4.46µm
chacha_unit.ciphertext\[182\],4.46µm
chacha_unit.counter\[0\],4.46µm
chacha_unit.counter\[2\],4.46µm
chacha_unit.plaintext\[241\],4.46µm
chacha_unit.plaintext\[317\],4.46µm
temp_key\[29\],4.46µm
temp_nonce\[55\],4.46µm
net152,4.46µm
net1906,4.46µm
net2037,4.46µm
net2050,4.46µm
net2088,4.46µm
net2090,4.46µm
net2145,4.46µm
net2287,4.46µm
net2337,4.46µm
net2465,4.46µm
net2470,4.46µm
net2549,4.46µm
net2622,4.46µm
net2681,4.46µm
net2834,4.46µm
net2921,4.46µm
net2967,4.46µm
net2981,4.46µm
net2985,4.46µm
net2990,4.46µm
net3007,4.46µm
net3014,4.46µm
net3067,4.46µm
net3128,4.46µm
net3233,4.46µm
net3394,4.46µm
net3433,4.46µm
net3718,4.46µm
net3914,4.46µm
net4053,4.46µm
_00584_,4.44µm
_00686_,4.44µm
_01132_,4.44µm
_01378_,4.44µm
_03130_,4.44µm
_05455_,4.44µm
_07676_,4.44µm
_08166_,4.44µm
_09380_,4.44µm
_10129_,4.44µm
chacha_unit.ciphertext\[28\],4.44µm
chacha_unit.original\[0\]\[31\],4.44µm
net2783,4.44µm
net3744,4.44µm
_01928_,4.435µm
_00008_,4.42µm
_00181_,4.42µm
_00343_,4.42µm
_01314_,4.42µm
_01543_,4.42µm
_02117_,4.42µm
_02442_,4.42µm
_02538_,4.42µm
_02653_,4.42µm
_02764_,4.42µm
_02914_,4.42µm
_03083_,4.42µm
_03227_,4.42µm
_03270_,4.42µm
_03297_,4.42µm
_03362_,4.42µm
_03629_,4.42µm
_03705_,4.42µm
_04064_,4.42µm
_04209_,4.42µm
_05478_,4.42µm
_06090_,4.42µm
_06115_,4.42µm
_06120_,4.42µm
_06424_,4.42µm
_06904_,4.42µm
_07066_,4.42µm
_07291_,4.42µm
_07484_,4.42µm
_07753_,4.42µm
_08068_,4.42µm
_08451_,4.42µm
_08461_,4.42µm
_08554_,4.42µm
_08629_,4.42µm
_08799_,4.42µm
_09346_,4.42µm
_09412_,4.42µm
_09570_,4.42µm
_09638_,4.42µm
_09780_,4.42µm
_10764_,4.42µm
_11135_,4.42µm
_11547_,4.42µm
_11588_,4.42µm
_11663_,4.42µm
_11871_,4.42µm
_13188_,4.42µm
_13590_,4.42µm
_13831_,4.42µm
_14176_,4.42µm
_15200_,4.42µm
chacha_unit.ciphertext\[3\],4.42µm
out_key_ptr\[2\],4.42µm
net1836,4.42µm
net2140,4.42µm
net2177,4.42µm
net2691,4.42µm
net2992,4.42µm
net3641,4.42µm
net3821,4.42µm
net3877,4.42µm
net4189,4.42µm
_15097_,4.39µm
out_key_word[9],4.39µm
out_state_word[12],4.39µm
out_state_word[13],4.39µm
out_state_word[3],4.39µm
_01628_,4.385µm
_01700_,4.385µm
_01778_,4.385µm
_01899_,4.385µm
_15129_,4.37µm
_02654_,4.365µm
_03186_,4.36µm
_05013_,4.36µm
_05170_,4.36µm
_05505_,4.36µm
_06136_,4.36µm
_06210_,4.36µm
_07009_,4.36µm
_08259_,4.36µm
_09323_,4.36µm
_10088_,4.36µm
_10249_,4.36µm
_10844_,4.36µm
_11521_,4.36µm
_11653_,4.36µm
_12072_,4.36µm
_13084_,4.36µm
_15013_,4.36µm
net1786,4.36µm
_00258_,4.34µm
_00741_,4.34µm
_01200_,4.34µm
_01556_,4.34µm
_02161_,4.34µm
_02465_,4.34µm
_02513_,4.34µm
_03592_,4.34µm
_03626_,4.34µm
_03674_,4.34µm
_03860_,4.34µm
_04705_,4.34µm
_04801_,4.34µm
_05486_,4.34µm
_05661_,4.34µm
_05735_,4.34µm
_05966_,4.34µm
_06075_,4.34µm
_06207_,4.34µm
_06617_,4.34µm
_06787_,4.34µm
_06797_,4.34µm
_06798_,4.34µm
_06805_,4.34µm
_06840_,4.34µm
_06971_,4.34µm
_06989_,4.34µm
_07006_,4.34µm
_07055_,4.34µm
_07234_,4.34µm
_07324_,4.34µm
_07335_,4.34µm
_07644_,4.34µm
_07923_,4.34µm
_08005_,4.34µm
_08285_,4.34µm
_08424_,4.34µm
_08544_,4.34µm
_08895_,4.34µm
_08907_,4.34µm
_08910_,4.34µm
_09018_,4.34µm
_09109_,4.34µm
_09124_,4.34µm
_09192_,4.34µm
_09381_,4.34µm
_09521_,4.34µm
_09588_,4.34µm
_09711_,4.34µm
_09713_,4.34µm
_09863_,4.34µm
_09878_,4.34µm
_09943_,4.34µm
_09971_,4.34µm
_10243_,4.34µm
_10266_,4.34µm
_10330_,4.34µm
_10546_,4.34µm
_10636_,4.34µm
_10717_,4.34µm
_10886_,4.34µm
_10901_,4.34µm
_11499_,4.34µm
_11657_,4.34µm
_11756_,4.34µm
_11782_,4.34µm
_11954_,4.34µm
_12052_,4.34µm
_12306_,4.34µm
_12439_,4.34µm
_12778_,4.34µm
_13202_,4.34µm
_13356_,4.34µm
_13524_,4.34µm
_13881_,4.34µm
_14432_,4.34µm
_14909_,4.34µm
_15140_,4.34µm
chacha_unit.ciphertext\[176\],4.34µm
chacha_unit.key\[141\],4.34µm
chacha_unit.nonce\[54\],4.34µm
chacha_unit.nonce\[76\],4.34µm
chacha_unit.plaintext\[175\],4.34µm
chacha_unit.plaintext\[497\],4.34µm
net1927,4.34µm
net1978,4.34µm
net2263,4.34µm
net2281,4.34µm
net2379,4.34µm
net2407,4.34µm
net2432,4.34µm
net2433,4.34µm
net2511,4.34µm
net2526,4.34µm
net2566,4.34µm
net2615,4.34µm
net2661,4.34µm
net2839,4.34µm
net2876,4.34µm
net2913,4.34µm
net3000,4.34µm
net3028,4.34µm
net3060,4.34µm
net3105,4.34µm
net3122,4.34µm
net3222,4.34µm
net3300,4.34µm
net3335,4.34µm
net3375,4.34µm
net3449,4.34µm
net3486,4.34µm
net3832,4.34µm
_01703_,4.335µm
_00450_,4.32µm
_01093_,4.32µm
_01313_,4.32µm
_02223_,4.32µm
_02529_,4.32µm
_06381_,4.32µm
_07168_,4.32µm
_11116_,4.32µm
_12623_,4.32µm
_00137_,4.305µm
_02848_,4.305µm
_08426_,4.3µm
in_state_word[0],4.27µm
in_state_word[12],4.27µm
_01238_,4.265µm
_01994_,4.265µm
net2542,4.265µm
_01427_,4.26µm
net1964,4.24µm
net1965,4.24µm
net2326,4.24µm
net2371,4.24µm
net2416,4.24µm
net2444,4.24µm
net2561,4.24µm
net2697,4.24µm
net2880,4.24µm
net3091,4.24µm
net3267,4.24µm
net3454,4.24µm
net3602,4.24µm
net3614,4.24µm
net3696,4.24µm
net3743,4.24µm
net3765,4.24µm
net3783,4.24µm
net3804,4.24µm
net3813,4.24µm
net3849,4.24µm
net4084,4.24µm
net4088,4.24µm
net4174,4.24µm
net4201,4.24µm
_00104_,4.22µm
_00183_,4.22µm
_00266_,4.22µm
_00378_,4.22µm
_00800_,4.22µm
_00892_,4.22µm
_01333_,4.22µm
_02154_,4.22µm
_02266_,4.22µm
_02350_,4.22µm
_02609_,4.22µm
_02661_,4.22µm
_02751_,4.22µm
_02863_,4.22µm
_02939_,4.22µm
_03877_,4.22µm
_03884_,4.22µm
_03964_,4.22µm
_04538_,4.22µm
_05292_,4.22µm
_05905_,4.22µm
_06055_,4.22µm
_06508_,4.22µm
_07059_,4.22µm
_07734_,4.22µm
_08175_,4.22µm
_08327_,4.22µm
_08355_,4.22µm
_08691_,4.22µm
_09410_,4.22µm
_09902_,4.22µm
_09941_,4.22µm
_10192_,4.22µm
_10829_,4.22µm
_11549_,4.22µm
_12229_,4.22µm
_12868_,4.22µm
_13573_,4.22µm
_13601_,4.22µm
_13651_,4.22µm
_14026_,4.22µm
_15038_,4.22µm
_15082_,4.22µm
_15276_,4.22µm
_15467_,4.22µm
chacha_unit.ciphertext\[238\],4.22µm
chacha_unit.ciphertext\[271\],4.22µm
chacha_unit.ciphertext\[344\],4.22µm
chacha_unit.ciphertext\[460\],4.22µm
net2857,4.22µm
net3572,4.22µm
_01905_,4.215µm
_10200_,4.21µm
_01123_,4.2µm
_03201_,4.2µm
_10925_,4.2µm
_11208_,4.2µm
_12235_,4.2µm
_15326_,4.2µm
net1979,4.2µm
net2307,4.2µm
net2490,4.2µm
net2594,4.2µm
net2710,4.2µm
net2821,4.2µm
net2844,4.2µm
net3684,4.2µm
net3963,4.2µm
net4039,4.2µm
_01432_,4.185µm
_01662_,4.165µm
_01832_,4.165µm
_01904_,4.165µm
_01948_,4.165µm
_02022_,4.165µm
_02080_,4.165µm
_07001_,4.15µm
_01724_,4.145µm
_01776_,4.145µm
_02004_,4.145µm
_03428_,4.14µm
_03735_,4.14µm
_07100_,4.14µm
_09058_,4.14µm
_11822_,4.14µm
_13051_,4.14µm
_13568_,4.14µm
chacha_unit.counter\[12\],4.14µm
trng_inst.ro1_sync1,4.14µm
net2019,4.14µm
net2413,4.14µm
net2435,4.14µm
net2699,4.14µm
net2819,4.14µm
net2997,4.14µm
net3148,4.14µm
net3176,4.14µm
net3424,4.14µm
net3442,4.14µm
net3511,4.14µm
net3513,4.14µm
net4213,4.14µm
_06829_,4.13µm
net2004,4.13µm
_00225_,4.12µm
_00268_,4.12µm
_00355_,4.12µm
_00374_,4.12µm
_00384_,4.12µm
_00506_,4.12µm
_00571_,4.12µm
_00738_,4.12µm
_00745_,4.12µm
_00827_,4.12µm
_00947_,4.12µm
_00948_,4.12µm
_01060_,4.12µm
_01190_,4.12µm
_01252_,4.12µm
_01365_,4.12µm
_01441_,4.12µm
_01512_,4.12µm
_01820_,4.12µm
_02149_,4.12µm
_02152_,4.12µm
_02198_,4.12µm
_02306_,4.12µm
_02316_,4.12µm
_02358_,4.12µm
_02361_,4.12µm
_02396_,4.12µm
_02398_,4.12µm
_02456_,4.12µm
_02535_,4.12µm
_02598_,4.12µm
_02766_,4.12µm
_02770_,4.12µm
_02812_,4.12µm
_02913_,4.12µm
_05514_,4.12µm
_10259_,4.12µm
_10353_,4.12µm
_11175_,4.12µm
_12529_,4.12µm
_13052_,4.12µm
net2370,4.12µm
net2454,4.12µm
net2550,4.12µm
net2761,4.12µm
net2804,4.12µm
net2806,4.12µm
net3111,4.12µm
net3354,4.12µm
net4054,4.12µm
net4108,4.12µm
_00089_,4.1µm
_00679_,4.1µm
_02320_,4.1µm
_02578_,4.1µm
_06196_,4.1µm
_06375_,4.1µm
_06569_,4.1µm
_06828_,4.1µm
_06983_,4.1µm
_07476_,4.1µm
_08490_,4.1µm
_08682_,4.1µm
_08980_,4.1µm
_09672_,4.1µm
_09881_,4.1µm
_10100_,4.1µm
_10494_,4.1µm
_11962_,4.1µm
_12049_,4.1µm
_12251_,4.1µm
_13193_,4.1µm
_14678_,4.1µm
chacha_unit.ciphertext\[147\],4.1µm
chacha_unit.ciphertext\[353\],4.1µm
temp_key\[4\],4.1µm
net2161,4.1µm
net3310,4.1µm
_05491_,4.095µm
_00580_,4.08µm
_00953_,4.08µm
_02371_,4.08µm
_02446_,4.08µm
_02532_,4.08µm
_02634_,4.08µm
_02650_,4.08µm
_05417_,4.08µm
_11987_,4.08µm
net2491,4.08µm
net3933,4.08µm
_04467_,4.06µm
_01729_,4.045µm
_01936_,4.045µm
_01633_,4.025µm
_03926_,4.02µm
_04077_,4.02µm
_04722_,4.02µm
_05584_,4.02µm
_05700_,4.02µm
_05882_,4.02µm
_06108_,4.02µm
_06300_,4.02µm
_06624_,4.02µm
_07472_,4.02µm
_07822_,4.02µm
_08342_,4.02µm
_08431_,4.02µm
_09974_,4.02µm
_10179_,4.02µm
_10610_,4.02µm
_11876_,4.02µm
_11978_,4.02µm
_12300_,4.02µm
_12476_,4.02µm
_12490_,4.02µm
_12703_,4.02µm
_13041_,4.02µm
_13712_,4.02µm
_13798_,4.02µm
_13855_,4.02µm
_14682_,4.02µm
_14868_,4.02µm
_15004_,4.02µm
net2125,4.02µm
net2672,4.02µm
net2750,4.02µm
net2947,4.02µm
net3477,4.02µm
net4225,4.02µm
_00110_,4µm
_00160_,4µm
_00168_,4µm
_00174_,4µm
_00176_,4µm
_00185_,4µm
_00247_,4µm
_00367_,4µm
_00400_,4µm
_00444_,4µm
_00544_,4µm
_00551_,4µm
_00575_,4µm
_00581_,4µm
_00668_,4µm
_00795_,4µm
_00901_,4µm
_00913_,4µm
_01037_,4µm
_01141_,4µm
_01143_,4µm
_01251_,4µm
_01275_,4µm
_01439_,4µm
_01481_,4µm
_01506_,4µm
_01509_,4µm
_01515_,4µm
_01562_,4µm
_02176_,4µm
_02203_,4µm
_02211_,4µm
_02251_,4µm
_02331_,4µm
_02391_,4µm
_02401_,4µm
_02404_,4µm
_02471_,4µm
_02528_,4µm
_02546_,4µm
_02574_,4µm
_02741_,4µm
_02809_,4µm
_02859_,4µm
_02901_,4µm
_02907_,4µm
_02943_,4µm
_02945_,4µm
_03753_,4µm
_03871_,4µm
_04061_,4µm
_04155_,4µm
_05214_,4µm
_05246_,4µm
_05503_,4µm
_06339_,4µm
_06748_,4µm
_06776_,4µm
_06942_,4µm
_07108_,4µm
_07160_,4µm
_07350_,4µm
_07354_,4µm
_07445_,4µm
_07553_,4µm
_07567_,4µm
_07595_,4µm
_07758_,4µm
_07775_,4µm
_08053_,4µm
_08230_,4µm
_08458_,4µm
_08669_,4µm
_09049_,4µm
_09581_,4µm
_09668_,4µm
_09982_,4µm
_10180_,4µm
_10695_,4µm
_10749_,4µm
_10785_,4µm
_10837_,4µm
_10946_,4µm
_11005_,4µm
_11074_,4µm
_11206_,4µm
_11451_,4µm
_11560_,4µm
_12261_,4µm
_13375_,4µm
_13596_,4µm
_13948_,4µm
_14484_,4µm
_14549_,4µm
chacha_unit.key\[152\],4µm
chacha_unit.nonce\[63\],4µm
chacha_unit.nonce\[7\],4µm
chacha_unit.plaintext\[149\],4µm
chacha_unit.plaintext\[347\],4µm
chacha_unit.plaintext\[448\],4µm
temp_nonce\[11\],4µm
temp_nonce\[37\],4µm
temp_nonce\[41\],4µm
net1787,4µm
net1790,4µm
net1818,4µm
net1870,4µm
net1890,4µm
net1996,4µm
net2000,4µm
net2007,4µm
net2009,4µm
net2016,4µm
net2092,4µm
net2146,4µm
net2152,4µm
net2230,4µm
net2275,4µm
net2402,4µm
net2410,4µm
net2538,4µm
net2623,4µm
net2645,4µm
net2692,4µm
net2709,4µm
net2719,4µm
net2759,4µm
net2817,4µm
net2933,4µm
net2934,4µm
net2971,4µm
net3026,4µm
net3065,4µm
net3127,4µm
net3197,4µm
net3362,4µm
net3519,4µm
net3542,4µm
net3645,4µm
net3655,4µm
net3805,4µm
net4149,4µm
_08595_,3.985µm
_02783_,3.98µm
_08287_,3.98µm
_08903_,3.98µm
_10101_,3.98µm
net2328,3.98µm
_01667_,3.975µm
_01869_,3.975µm
_03409_,3.97µm
_02010_,3.965µm
in_state_word[11],3.93µm
in_state_word[1],3.93µm
in_state_word[7],3.93µm
_01680_,3.925µm
_01684_,3.925µm
_01702_,3.925µm
_01708_,3.925µm
_01749_,3.925µm
_01750_,3.925µm
_01786_,3.925µm
_01801_,3.925µm
_01809_,3.925µm
_01909_,3.925µm
_01918_,3.925µm
_01953_,3.925µm
_02060_,3.925µm
_01091_,3.92µm
_00673_,3.91µm
_04976_,3.91µm
_01127_,3.905µm
_03307_,3.9µm
_05655_,3.9µm
_06031_,3.9µm
_06191_,3.9µm
_06297_,3.9µm
_07030_,3.9µm
_07399_,3.9µm
_07677_,3.9µm
_09048_,3.9µm
_09948_,3.9µm
_10435_,3.9µm
_11612_,3.9µm
_11637_,3.9µm
_14609_,3.9µm
net1882,3.9µm
net1934,3.9µm
net2265,3.9µm
net2482,3.9µm
net3134,3.9µm
net3440,3.9µm
net4117,3.9µm
_00042_,3.88µm
_00070_,3.88µm
_00251_,3.88µm
_00388_,3.88µm
_00457_,3.88µm
_00814_,3.88µm
_00836_,3.88µm
_00887_,3.88µm
_01172_,3.88µm
_01283_,3.88µm
_01345_,3.88µm
_01537_,3.88µm
_02153_,3.88µm
_02857_,3.88µm
_03116_,3.88µm
_03127_,3.88µm
_03207_,3.88µm
_03546_,3.88µm
_03619_,3.88µm
_03921_,3.88µm
_04390_,3.88µm
_04751_,3.88µm
_04797_,3.88µm
_05115_,3.88µm
_05918_,3.88µm
_05931_,3.88µm
_06435_,3.88µm
_06612_,3.88µm
_06663_,3.88µm
_06963_,3.88µm
_07044_,3.88µm
_07231_,3.88µm
_07323_,3.88µm
_07613_,3.88µm
_07918_,3.88µm
_08194_,3.88µm
_08511_,3.88µm
_08592_,3.88µm
_08787_,3.88µm
_08823_,3.88µm
_08891_,3.88µm
_09016_,3.88µm
_09138_,3.88µm
_09161_,3.88µm
_09352_,3.88µm
_09379_,3.88µm
_09815_,3.88µm
_09822_,3.88µm
_09919_,3.88µm
_10163_,3.88µm
_10612_,3.88µm
_10732_,3.88µm
_10970_,3.88µm
_11076_,3.88µm
_11112_,3.88µm
_11140_,3.88µm
_11178_,3.88µm
_11496_,3.88µm
_11566_,3.88µm
_11586_,3.88µm
_11644_,3.88µm
_11875_,3.88µm
_12120_,3.88µm
_12256_,3.88µm
_12463_,3.88µm
_12556_,3.88µm
_12591_,3.88µm
_13359_,3.88µm
_13887_,3.88µm
_13950_,3.88µm
_14009_,3.88µm
_14062_,3.88µm
_14173_,3.88µm
_14339_,3.88µm
_14447_,3.88µm
_14540_,3.88µm
_14593_,3.88µm
_14751_,3.88µm
_14761_,3.88µm
_14866_,3.88µm
_14976_,3.88µm
_15147_,3.88µm
_15226_,3.88µm
_15249_,3.88µm
_15425_,3.88µm
_15541_,3.88µm
chacha_unit.ciphertext\[148\],3.88µm
chacha_unit.ciphertext\[340\],3.88µm
temp_key\[189\],3.88µm
net1921,3.88µm
net2109,3.88µm
net2282,3.88µm
net2406,3.88µm
net2558,3.88µm
net2735,3.88µm
net2875,3.88µm
net3189,3.88µm
net3206,3.88µm
net3249,3.88µm
net3326,3.88µm
net3391,3.88µm
net3396,3.88µm
net3471,3.88µm
net3736,3.88µm
net3998,3.88µm
_01901_,3.875µm
_00437_,3.86µm
_01440_,3.86µm
_02267_,3.86µm
_00318_,3.845µm
_02284_,3.845µm
_02498_,3.845µm
net1950,3.845µm
_00455_,3.84µm
_01726_,3.805µm
_01756_,3.805µm
_01758_,3.805µm
_01910_,3.805µm
_01911_,3.805µm
_02076_,3.805µm
_02091_,3.805µm
_10682_,3.795µm
net1901,3.79µm
_01649_,3.78µm
_01763_,3.78µm
_03142_,3.78µm
_06960_,3.78µm
_07554_,3.78µm
_07573_,3.78µm
_08397_,3.78µm
_10190_,3.78µm
_11088_,3.78µm
_11544_,3.78µm
net2197,3.78µm
net2198,3.78µm
net2214,3.78µm
net2233,3.78µm
net2239,3.78µm
net2296,3.78µm
net2347,3.78µm
net2368,3.78µm
net2397,3.78µm
net2412,3.78µm
net2426,3.78µm
net2478,3.78µm
net2541,3.78µm
net2678,3.78µm
net2742,3.78µm
net2889,3.78µm
net3087,3.78µm
net3241,3.78µm
net3577,3.78µm
net3704,3.78µm
net3710,3.78µm
net3860,3.78µm
net3910,3.78µm
_00028_,3.76µm
_00061_,3.76µm
_00087_,3.76µm
_00111_,3.76µm
_00360_,3.76µm
_00379_,3.76µm
_00477_,3.76µm
_00744_,3.76µm
_00797_,3.76µm
_00817_,3.76µm
_00830_,3.76µm
_00850_,3.76µm
_01044_,3.76µm
_01063_,3.76µm
_01175_,3.76µm
_01208_,3.76µm
_01348_,3.76µm
_02334_,3.76µm
_02429_,3.76µm
_02562_,3.76µm
_02735_,3.76µm
_02938_,3.76µm
_03088_,3.76µm
_03347_,3.76µm
_03785_,3.76µm
_04080_,3.76µm
_04470_,3.76µm
_04487_,3.76µm
_05303_,3.76µm
_05640_,3.76µm
_05666_,3.76µm
_05817_,3.76µm
_05964_,3.76µm
_06857_,3.76µm
_07976_,3.76µm
_08448_,3.76µm
_08600_,3.76µm
_08686_,3.76µm
_09046_,3.76µm
_09182_,3.76µm
_09602_,3.76µm
_09662_,3.76µm
_09870_,3.76µm
_09922_,3.76µm
_12332_,3.76µm
_12447_,3.76µm
_14005_,3.76µm
_15377_,3.76µm
chacha_unit.ciphertext\[184\],3.76µm
chacha_unit.original\[4\]\[30\],3.76µm
net1800,3.76µm
net1919,3.76µm
net2500,3.76µm
net2838,3.76µm
net3086,3.76µm
net3158,3.76µm
_05377_,3.74µm
_06554_,3.74µm
_10768_,3.74µm
net2311,3.74µm
net3340,3.74µm
net3776,3.74µm
_01105_,3.705µm
_01665_,3.705µm
_01860_,3.705µm
_01881_,3.705µm
_02002_,3.705µm
_02318_,3.705µm
_02411_,3.705µm
_02869_,3.69µm
_00163_,3.685µm
_01403_,3.685µm
_01658_,3.685µm
_03430_,3.68µm
_03488_,3.68µm
_04254_,3.68µm
_05685_,3.68µm
_05952_,3.68µm
_07601_,3.68µm
_11767_,3.68µm
_12566_,3.68µm
_14090_,3.68µm
_14324_,3.68µm
_15533_,3.68µm
net2260,3.68µm
net2381,3.68µm
net2630,3.68µm
net3089,3.68µm
net3216,3.68µm
net3333,3.68µm
net3380,3.68µm
net3416,3.68µm
net3611,3.68µm
net3714,3.68µm
net3758,3.68µm
net3793,3.68µm
net3883,3.68µm
net3884,3.68µm
net4030,3.68µm
net4161,3.68µm
_07728_,3.675µm
_00021_,3.66µm
_00084_,3.66µm
_00098_,3.66µm
_00140_,3.66µm
_00175_,3.66µm
_00211_,3.66µm
_00242_,3.66µm
_00249_,3.66µm
_00408_,3.66µm
_00424_,3.66µm
_00441_,3.66µm
_00488_,3.66µm
_00530_,3.66µm
_00534_,3.66µm
_00542_,3.66µm
_00546_,3.66µm
_00547_,3.66µm
_00632_,3.66µm
_00643_,3.66µm
_00649_,3.66µm
_00682_,3.66µm
_00687_,3.66µm
_00701_,3.66µm
_00809_,3.66µm
_00840_,3.66µm
_00872_,3.66µm
_01017_,3.66µm
_01038_,3.66µm
_01126_,3.66µm
_01197_,3.66µm
_01213_,3.66µm
_01225_,3.66µm
_01296_,3.66µm
_01330_,3.66µm
_01332_,3.66µm
_01335_,3.66µm
_01362_,3.66µm
_01386_,3.66µm
_01490_,3.66µm
_01493_,3.66µm
_01495_,3.66µm
_01560_,3.66µm
_02126_,3.66µm
_02127_,3.66µm
_02130_,3.66µm
_02137_,3.66µm
_02143_,3.66µm
_02159_,3.66µm
_02189_,3.66µm
_02221_,3.66µm
_02233_,3.66µm
_02258_,3.66µm
_02288_,3.66µm
_02311_,3.66µm
_02319_,3.66µm
_02333_,3.66µm
_02341_,3.66µm
_02421_,3.66µm
_02508_,3.66µm
_02606_,3.66µm
_02607_,3.66µm
_02608_,3.66µm
_02619_,3.66µm
_02740_,3.66µm
_02779_,3.66µm
_06492_,3.66µm
_07514_,3.66µm
net1944,3.66µm
net2054,3.66µm
net2215,3.66µm
net2270,3.66µm
net2494,3.66µm
net3174,3.66µm
net3344,3.66µm
net3578,3.66µm
net3677,3.66µm
net3839,3.66µm
_01117_,3.64µm
_02270_,3.64µm
_02275_,3.64µm
_02679_,3.64µm
_02839_,3.64µm
_04886_,3.64µm
_05630_,3.64µm
_06106_,3.64µm
_06242_,3.64µm
_07475_,3.64µm
_07587_,3.64µm
_07839_,3.64µm
_08381_,3.64µm
_08871_,3.64µm
_09001_,3.64µm
_09409_,3.64µm
_09547_,3.64µm
_10083_,3.64µm
_11858_,3.64µm
_12021_,3.64µm
_12932_,3.64µm
_12940_,3.64µm
trng_inst.shift_reg\[19\],3.64µm
net1879,3.64µm
_01565_,3.625µm
_01591_,3.585µm
_01917_,3.585µm
_02112_,3.565µm
_09245_,3.565µm
_00724_,3.56µm
_00890_,3.56µm
_02890_,3.56µm
_02920_,3.56µm
_03110_,3.56µm
_03538_,3.56µm
_05125_,3.56µm
_06355_,3.56µm
_06377_,3.56µm
_06954_,3.56µm
_07333_,3.56µm
_07730_,3.56µm
_07955_,3.56µm
_08098_,3.56µm
_08187_,3.56µm
_08243_,3.56µm
_08305_,3.56µm
_08566_,3.56µm
_08767_,3.56µm
_08843_,3.56µm
_09511_,3.56µm
_09606_,3.56µm
_09733_,3.56µm
_09787_,3.56µm
_09884_,3.56µm
_09956_,3.56µm
_11069_,3.56µm
_11165_,3.56µm
_12549_,3.56µm
_13061_,3.56µm
_13139_,3.56µm
_13857_,3.56µm
_14867_,3.56µm
net2084,3.56µm
net2548,3.56µm
net2641,3.56µm
net2850,3.56µm
net2994,3.56µm
net3131,3.56µm
net3239,3.56µm
net3286,3.56µm
net3289,3.56µm
net3294,3.56µm
net3301,3.56µm
net3996,3.56µm
net4173,3.56µm
net4182,3.56µm
_00020_,3.54µm
_00032_,3.54µm
_00040_,3.54µm
_00046_,3.54µm
_00050_,3.54µm
_00057_,3.54µm
_00062_,3.54µm
_00072_,3.54µm
_00080_,3.54µm
_00086_,3.54µm
_00092_,3.54µm
_00097_,3.54µm
_00103_,3.54µm
_00109_,3.54µm
_00113_,3.54µm
_00115_,3.54µm
_00126_,3.54µm
_00132_,3.54µm
_00133_,3.54µm
_00238_,3.54µm
_00239_,3.54µm
_00241_,3.54µm
_00248_,3.54µm
_00254_,3.54µm
_00256_,3.54µm
_00263_,3.54µm
_00264_,3.54µm
_00267_,3.54µm
_00276_,3.54µm
_00277_,3.54µm
_00308_,3.54µm
_00357_,3.54µm
_00358_,3.54µm
_00365_,3.54µm
_00382_,3.54µm
_00387_,3.54µm
_00395_,3.54µm
_00415_,3.54µm
_00449_,3.54µm
_00521_,3.54µm
_00526_,3.54µm
_00536_,3.54µm
_00537_,3.54µm
_00552_,3.54µm
_00553_,3.54µm
_00626_,3.54µm
_00637_,3.54µm
_00639_,3.54µm
_00645_,3.54µm
_00666_,3.54µm
_00688_,3.54µm
_00691_,3.54µm
_00693_,3.54µm
_00695_,3.54µm
_00759_,3.54µm
_00760_,3.54µm
_00811_,3.54µm
_00816_,3.54µm
_00822_,3.54µm
_00832_,3.54µm
_00895_,3.54µm
_00897_,3.54µm
_00898_,3.54µm
_00903_,3.54µm
_00911_,3.54µm
_00969_,3.54µm
_00997_,3.54µm
_01027_,3.54µm
_01035_,3.54µm
_01047_,3.54µm
_01049_,3.54µm
_01078_,3.54µm
_01112_,3.54µm
_01189_,3.54µm
_01194_,3.54µm
_01270_,3.54µm
_01287_,3.54µm
_01290_,3.54µm
_01303_,3.54µm
_01347_,3.54µm
_01414_,3.54µm
_01485_,3.54µm
_01497_,3.54µm
_01502_,3.54µm
_01507_,3.54µm
_01555_,3.54µm
_02147_,3.54µm
_02169_,3.54µm
_02174_,3.54µm
_02247_,3.54µm
_02263_,3.54µm
_02300_,3.54µm
_02379_,3.54µm
_02559_,3.54µm
_02663_,3.54µm
_02744_,3.54µm
_02785_,3.54µm
